FY 2020 IPPS Final Rule: Implementation of Section 3133 of the Affordable Care Act- Medicare DSH- Supplemental Data																
Medicare CCN	Projected to Receive DSH in FY 2020	IHS or PR	Rural Community Hospital Demonstration	New Hospital	Medicaid Days 2013 (Annualized)	Length of 2013 Reporting Period	2017 SSI Days	2015 UCC (Annualized)	Length of 2015 Reporting Period	Factor 3	Total Uncompensated Care Payment	Estimated Per Claim Amount	BILLSV32	BILLSV33	BILLSV34	Claims Average
[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]	[16]	[17]
030024	YES	NO	NO	NO	"51,263"	365	"3,443"	"$25,415,401.76"	366	0.000844557	"$7,052,560.95"	"$1,311.86"	"5,102"	"5,233"	"5,794"	"5,376"
030030	YES	NO	NO	NO	"16,821"	365	"1,268"	"$8,919,076.17"	366	0.000296382	"$2,474,968.88"	"$2,196.07"	"1,011"	"1,120"	"1,250"	"1,127"
030036	YES	NO	NO	NO	"18,054"	365	"1,673"	"$15,603,504.67"	366	0.000518507	"$4,329,841.76"	$688.04	"5,696"	"6,316"	"6,868"	"6,293"
030037	YES	NO	NO	NO	"8,070"	365	936	"$3,531,786.87"	366	0.000117362	"$980,041.25"	$686.30	"1,445"	"1,499"	"1,340"	"1,428"
030038	YES	NO	NO	NO	"9,162"	365	"1,090"	"$9,167,181.00"	365	0.000304627	"$2,543,815.89"	$557.98	"4,278"	"4,572"	"4,828"	"4,559"
030043	SCH	NO	NO	NO	"2,996"	365	360	"$1,423,394.29"	366	0.000047300	N/A	$227.00	"1,701"	"1,692"	"1,828"	"1,740"
030055	SCH	NO	NO	NO	"8,063"	365	"1,471"	"$6,802,197.84"	366	0.000226038	N/A	$659.06	"3,027"	"2,892"	"2,674"	"2,864"
030061	NO	NO	NO	NO	"3,982"	365	"1,357"	"$3,196,802.00"	365	0.000106230	N/A	N/A	N/A	N/A	N/A	N/A
030062	SCH	NO	NO	NO	"4,207"	365	307	"$3,449,963.00"	365	0.000114643	N/A	$662.52	"1,350"	"1,420"	"1,566"	"1,445"
030064	YES	NO	NO	NO	"47,691"	365	"4,223"	"$25,238,360.15"	307	0.000838674	"$7,003,433.39"	"$1,656.44"	"4,288"	"4,434"	"3,962"	"4,228"
030065	YES	NO	NO	NO	"51,286"	365	"2,844"	"$21,206,809.00"	365	0.000704705	"$5,884,711.74"	"$1,100.15"	"5,179"	"5,298"	"5,571"	"5,349"
030068	SCH	NO	NO	NO	"1,761"	365	183	"$3,793,499.00"	365	0.000126059	N/A	"$3,884.37"	242	294	277	271
030069	YES	NO	NO	NO	"4,193"	365	223	"$2,310,911.73"	366	0.000076792	"$641,258.63"	$216.79	"3,162"	"2,799"	"2,912"	"2,958"
030071	YES	YES	NO	NO	"7,021"	365	596	N/A	N/A	0.000203030	"$1,695,423.23"	"$2,576.63"	634	658	683	658
030073	YES	YES	NO	NO	"4,790"	365	964	N/A	N/A	0.000153372	"$1,280,749.01"	"$2,227.39"	557	650	519	575
030074	YES	YES	NO	NO	700	365	41	N/A	N/A	0.000019751	"$164,934.83"	"$4,229.10"	36	39	42	39
030077	YES	YES	NO	NO	71	365	73	N/A	N/A	0.000003838	"$32,052.11"	$348.39	77	123	75	92
030078	YES	YES	NO	NO	"3,475"	365	106	N/A	N/A	0.000095451	"$797,073.73"	"$4,087.56"	172	191	222	195
030083	YES	NO	NO	NO	"4,391"	365	775	"$4,566,420.00"	365	0.000151743	"$1,267,143.27"	"$1,235.03"	999	"1,072"	"1,006"	"1,026"
030084	YES	YES	NO	NO	"3,980"	365	520	N/A	N/A	0.000119947	"$1,001,628.53"	"$3,081.93"	323	329	323	325
030085	YES	NO	NO	NO	"12,123"	365	964	"$3,287,037.00"	365	0.000109229	"$912,125.22"	$208.92	"4,635"	"4,362"	"4,100"	"4,366"
030087	NO	NO	NO	NO	"7,207"	365	465	"$5,281,543.00"	365	0.000175506	N/A	N/A	N/A	N/A	N/A	N/A
030088	YES	NO	NO	NO	"9,800"	365	"1,426"	"$5,199,556.00"	365	0.000172782	"$1,442,833.21"	$241.52	"6,181"	"5,899"	"5,842"	"5,974"
030089	YES	NO	NO	NO	"41,708"	365	"2,333"	"$13,502,776.00"	365	0.000448699	"$3,746,907.16"	"$1,039.36"	"3,651"	"3,442"	"3,722"	"3,605"
030092	YES	NO	NO	NO	"7,296"	365	"1,004"	"$15,077,351.00"	365	0.000501023	"$4,183,838.52"	"$1,246.30"	"3,206"	"3,310"	"3,556"	"3,357"
