FY 2020 IPPS Final Rule Correction Notice: Implementation of Section 3133 of the Affordable Care Act- Medicare DSH- Supplemental Data																
Medicare CCN	Projected to Receive DSH in FY 2020	IHS or PR	Rural Community Hospital Demonstration	New Hospital	Medicaid Days 2013 (Annualized)	Length of 2013 Reporting Period	2017 SSI Days	2015 UCC (Annualized)	Length of 2015 Reporting Period	Factor 3	Total Uncompensated Care Payment	Estimated Per Claim Amount	BILLSV33	BILLSV34	BILLSV35	Claims Average
[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]	[16]	[17]
030038	YES	NO	NO	NO	"9,162"	365	"1,090"	"$9,167,181.00"	365	0.000304876	"$2,545,899.46"	$558.43	"4,278"	"4,572"	"4,828"	"4,559"
030043	SCH	NO	NO	NO	"2,996"	365	360	"$1,423,394.29"	366	0.000047338	N/A	$227.19	"1,701"	"1,692"	"1,828"	"1,740"
030055	SCH	NO	NO	NO	"8,063"	365	"1,471"	"$6,802,197.84"	366	0.000226223	N/A	$659.60	"3,027"	"2,892"	"2,674"	"2,864"
030061	NO	NO	NO	NO	"3,982"	365	"1,357"	"$3,196,802.00"	365	0.000106317	N/A	N/A	N/A	N/A	N/A	N/A
030062	SCH	NO	NO	NO	"4,207"	365	307	"$3,449,963.00"	365	0.000114737	N/A	$663.06	"1,350"	"1,420"	"1,566"	"1,445"
030064	YES	NO	NO	NO	"47,691"	365	"4,223"	"$25,238,360.15"	307	0.000839361	"$7,009,169.73"	"$1,657.80"	"4,288"	"4,434"	"3,962"	"4,228"
030065	YES	NO	NO	NO	"51,286"	365	"2,844"	"$21,206,809.00"	365	0.000705283	"$5,889,531.76"	"$1,101.05"	"5,179"	"5,298"	"5,571"	"5,349"
030068	SCH	NO	NO	NO	"1,761"	365	183	"$3,793,499.00"	365	0.000126162	N/A	"$3,887.55"	242	294	277	271
030069	YES	NO	NO	NO	"4,193"	365	223	"$2,310,911.73"	366	0.000076855	"$641,783.87"	$216.97	"3,162"	"2,799"	"2,912"	"2,958"
030071	YES	YES	NO	NO	"7,021"	365	596	N/A	N/A	0.000203203	"$1,696,869.81"	"$2,578.83"	634	658	683	658
030073	YES	YES	NO	NO	"4,790"	365	964	N/A	N/A	0.000153503	"$1,281,841.79"	"$2,229.29"	557	650	519	575
030074	YES	YES	NO	NO	700	365	41	N/A	N/A	0.000019768	"$165,075.56"	"$4,232.71"	36	39	42	39
030077	YES	YES	NO	NO	71	365	73	N/A	N/A	0.000003842	"$32,079.46"	$348.69	77	123	75	92
030078	YES	YES	NO	NO	"3,475"	365	106	N/A	N/A	0.000095533	"$797,753.81"	"$4,091.05"	172	191	222	195
030083	YES	NO	NO	NO	"4,391"	365	775	"$4,566,420.00"	365	0.000151867	"$1,268,181.16"	"$1,236.04"	999	"1,072"	"1,006"	"1,026"
030084	YES	YES	NO	NO	"3,980"	365	520	N/A	N/A	0.000120049	"$1,002,483.15"	"$3,084.56"	323	329	323	325
030085	YES	NO	NO	NO	"12,123"	365	964	"$3,287,037.00"	365	0.000109318	"$912,872.31"	$209.09	"4,635"	"4,362"	"4,100"	"4,366"
030087	NO	NO	NO	NO	"7,207"	365	465	"$5,281,543.00"	365	0.000175650	N/A	N/A	N/A	N/A	N/A	N/A
030088	YES	NO	NO	NO	"9,800"	365	"1,426"	"$5,199,556.00"	365	0.000172924	"$1,444,015.00"	$241.72	"6,181"	"5,899"	"5,842"	"5,974"
030089	YES	NO	NO	NO	"41,708"	365	"2,333"	"$13,502,776.00"	365	0.000449067	"$3,749,976.16"	"$1,040.22"	"3,651"	"3,442"	"3,722"	"3,605"
030092	YES	NO	NO	NO	"7,296"	365	"1,004"	"$15,077,351.00"	365	0.000501433	"$4,187,265.40"	"$1,247.32"	"3,206"	"3,310"	"3,556"	"3,357"
030093	YES	NO	NO	NO	"7,869"	365	827	"$5,591,998.00"	365	0.000185975	"$1,553,003.56"	$306.31	"4,898"	"5,049"	"5,262"	"5,070"
030094	YES	NO	NO	NO	"14,645"	365	"1,317"	"$5,370,818.43"	366	0.000178619	"$1,491,577.81"	$387.12	"3,741"	"3,858"	"3,961"	"3,853"
030101	YES	NO	NO	NO	"4,395"	365	413	"$1,364,685.14"	366	0.000045386	"$378,998.86"	$202.78	"2,062"	"1,772"	"1,772"	"1,869"
030103	NO	NO	NO	NO	"1,718"	365	745	"$8,369,045.00"	365	0.000278332	N/A	N/A	N/A	N/A	N/A	N/A
030105	NO	NO	NO	NO	904	365	432	"$563,847.00"	365	0.000018752	N/A	N/A	N/A	N/A	N/A	N/A
030107	NO	NO	NO	NO	1	365	2	"$72,003.00"	365	0.000002395	N/A	N/A	N/A	N/A	N/A	N/A
030108	NO	NO	NO	NO	4	365	3	"$246,758.76"	214	0.000008207	N/A	N/A	N/A	N/A	N/A	N/A
030110	YES	NO	NO	NO	"17,935"	365	"2,299"	"$11,935,556.22"	366	0.000396945	"$3,314,729.60"	"$1,283.29"	"2,574"	"2,586"	"2,590"	"2,583"
030111	YES	NO	NO	NO	"12,897"	365	"2,776"	"$7,116,318.21"	307	0.000236670	"$1,976,336.10"	"$1,717.06"	"1,111"	"1,217"	"1,126"	"1,151"
030112	NO	NO	NO	NO		365	N/A	"$47,063.00"	365	0.000001565	N/A	N/A	N/A	N/A	N/A	N/A
030113	YES	YES	NO	NO	"2,884"	365	226	N/A	N/A	0.000082967	"$692,827.24"	"$4,469.85"	152	151	162	155
030114	NO	NO	NO	NO	502	365	210	"$629,647.00"	365	0.000020940	N/A	N/A	N/A	N/A	N/A	N/A
